AQI,÷ ¡øµ»º∂,PM10,O3,SO2,PM2.5,NO2,CO,date
85.0,¡º,119.0,74.0,41.0,46,58.0,1.1,2015/1/1
110.0,«·∂»Œ€»æ,144.0,20.0,56.0,83,79.0,1.4,2015/1/2
144.0,«·∂»Œ€»æ,182.0,44.0,43.0,110,89.0,1.6,2015/1/3
176.0,÷–∂»Œ€»æ,216.0,37.0,70.0,133,117.0,1.9,2015/1/4
203.0,÷ÿ∂»Œ€»æ,169.0,15.0,62.0,153,95.0,1.8,2015/1/5
285.0,÷ÿ∂»Œ€»æ,119.0,19.0,45.0,235,69.0,2.4,2015/1/6
168.0,÷–∂»Œ€»æ,152.0,41.0,31.0,128,69.0,2.0,2015/1/7
204.0,÷ÿ∂»Œ€»æ,193.0,44.0,37.0,154,97.0,2.1,2015/1/8
240.0,÷ÿ∂»Œ€»æ,228.0,46.0,42.0,190,104.0,2.1,2015/1/9
230.0,÷ÿ∂»Œ€»æ,221.0,53.0,44.0,180,108.0,2.2,2015/1/10
227.0,÷ÿ∂»Œ€»æ,221.0,47.0,41.0,177,119.0,2.7,2015/1/11
193.0,÷–∂»Œ€»æ,177.0,31.0,35.0,145,83.0,1.8,2015/1/12
129.0,«·∂»Œ€»æ,122.0,37.0,28.0,98,55.0,1.5,2015/1/13
117.0,«·∂»Œ€»æ,91.0,54.0,16.0,88,60.0,1.1,2015/1/14
163.0,÷–∂»Œ€»æ,150.0,26.0,27.0,124,80.0,1.6,2015/1/15
171.0,÷–∂»Œ€»æ,142.0,65.0,23.0,130,68.0,1.3,2015/1/16
169.0,÷–∂»Œ€»æ,160.0,86.0,43.0,129,74.0,1.4,2015/1/17
146.0,«·∂»Œ€»æ,147.0,78.0,33.0,112,65.0,1.2,2015/1/18
187.0,÷–∂»Œ€»æ,172.0,71.0,36.0,141,87.0,1.5,2015/1/19
131.0,«·∂»Œ€»æ,165.0,50.0,41.0,100,95.0,1.4,2015/1/20
145.0,«·∂»Œ€»æ,168.0,70.0,34.0,111,74.0,1.4,2015/1/21
134.0,«·∂»Œ€»æ,133.0,67.0,52.0,102,70.0,1.5,2015/1/22
116.0,«·∂»Œ€»æ,135.0,35.0,58.0,88,85.0,1.4,2015/1/23
132.0,«·∂»Œ€»æ,159.0,34.0,48.0,100,91.0,1.5,2015/1/24
279.0,÷ÿ∂»Œ€»æ,57.0,32.0,25.0,229,62.0,2.1,2015/1/25
,,32.5,,,168,,,2015/1/26
140.0,«·∂»Œ€»æ,8.0,,1.0,107,,,2015/1/27
