V01301,V13305,V10004_700,V11291_700,V12001_700,V13003_700,date
1,0.0,1031.2,1.3,1.8,55.0,2015/1/1
1,0.0,1025.8,0.8,5.2,61.0,2015/1/2
1,0.0,1018.9,0.9,4.7,73.0,2015/1/3
1,0.0,1011.1,0.8,7.6,74.0,2015/1/4
1,0.5,1010.9,1.6,11.3,77.0,2015/1/5
1,6.0,1021.4,3.4,6.0,79.0,2015/1/6
1,0.0,1026.8,0.7,2.5,82.0,2015/1/7
1,0.0,1029.6,0.7,3.6,81.0,2015/1/8
1,0.0,1027.4,0.4,5.8,83.0,2015/1/9
1,0.0,1025.7,0.5,5.7,82.0,2015/1/10
1,0.0,1024.8,0.3,5.4,81.0,2015/1/11
1,0.0,1026.3,2.0,8.1,76.0,2015/1/12
1,999990.0,1025.4,1.4,6.7,78.0,2015/1/13
1,0.0,1025.7,0.7,3.9,87.0,2015/1/14
1,0.0,1024.6,0.4,4.2,88.0,2015/1/15
1,0.0,1025.9,0.6,5.1,80.0,2015/1/16
1,0.0,1028.4,1.2,3.5,74.0,2015/1/17
1,0.0,1026.7,1.6,7.2,64.0,2015/1/18
1,0.0,1024.4,0.8,5.6,74.0,2015/1/19
1,0.0,1018.7,0.7,8.2,66.0,2015/1/20
1,0.0,1022.7,1.9,6.2,63.0,2015/1/21
1,0.0,1022.4,1.7,3.9,63.0,2015/1/22
1,0.0,1015.9,1.8,8.2,54.0,2015/1/23
1,999990.0,1014.0,0.8,11.8,63.0,2015/1/24
1,1.3,1020.0,2.9,6.6,86.0,2015/1/25
1,0.4,1020.8,1.7,6.4,84.0,2015/1/26
1,11.5,1023.8,5.4,4.1,91.0,2015/1/27
1,10.5,1024.5,2.9,0.2,94.0,2015/1/28
1,5.5,1027.1,2.4,-0.5,94.0,2015/1/29
1,0.0,1030.4,2.3,-0.3,87.0,2015/1/30
1,999990.0,1032.8,2.0,1.9,74.0,2015/1/31
1,4.2,1031.3,0.9,1.1,89.0,2015/2/1
1,999990.0,1028.9,1.0,2.2,92.0,2015/2/2
1,0.0,1030.4,1.3,3.4,80.0,2015/2/3
1,0.0,1029.7,0.9,1.3,85.0,2015/2/4
1,0.0,1030.4,0.8,1.6,77.0,2015/2/5
1,0.0,1024.5,0.8,2.4,77.0,2015/2/6
1,0.0,1023.0,0.7,2.8,82.0,2015/2/7
1,0.0,1029.1,1.6,3.6,70.0,2015/2/8
1,0.0,1028.1,1.2,4.2,61.0,2015/2/9
1,0.0,1020.8,1.2,4.9,67.0,2015/2/10
1,0.0,1016.3,1.9,7.9,74.0,2015/2/11
1,0.0,1015.0,1.5,7.7,79.0,2015/2/12
1,0.0,1014.8,0.9,8.5,79.0,2015/2/13
1,0.5,1011.4,2.7,10.4,81.0,2015/2/14
1,3.0,1012.0,1.3,11.5,95.0,2015/2/15
1,0.0,1018.2,0.8,10.6,81.0,2015/2/16
1,0.0,1015.0,0.4,10.7,77.0,2015/2/17
1,0.3,1017.9,2.0,12.8,61.0,2015/2/18
1,5.3,1018.7,2.2,8.4,78.0,2015/2/19
1,20.1,1014.7,2.2,5.7,97.0,2015/2/20
1,0.6,1016.6,1.8,6.5,86.0,2015/2/21
1,5.0,1019.1,1.7,7.4,89.0,2015/2/22
1,2.5,1017.3,1.0,7.9,91.0,2015/2/23
1,1.8,1014.5,1.0,8.6,92.0,2015/2/24
1,7.4,1013.5,1.0,9.5,96.0,2015/2/25
1,5.3,1016.0,1.4,10.3,91.0,2015/2/26
1,31.1,1016.3,3.7,7.5,95.0,2015/2/27
1,26.3,1023.8,3.9,3.9,85.0,2015/2/28
1,0.0,1025.6,1.0,6.7,73.0,2015/3/1
1,0.0,1015.0,1.1,7.7,82.0,2015/3/2
1,0.0,1016.9,3.4,10.3,60.0,2015/3/3
1,0.0,1020.7,3.0,7.9,52.0,2015/3/4
1,4.0,1022.2,2.5,4.4,77.0,2015/3/5
1,0.0,1021.6,1.3,3.8,76.0,2015/3/6
1,0.0,1018.4,0.5,6.8,76.0,2015/3/7
1,0.0,1016.7,1.3,10.3,79.0,2015/3/8
1,0.0,1023.5,2.5,9.6,75.0,2015/3/9
1,0.0,1027.5,3.0,8.5,74.0,2015/3/10
1,999990.0,1024.0,1.2,8.7,71.0,2015/3/11
1,0.0,1018.4,1.6,10.3,77.0,2015/3/12
1,0.0,1014.4,1.1,12.3,77.0,2015/3/13
1,0.0,1016.0,1.6,14.7,72.0,2015/3/14
1,1.9,1015.1,1.0,12.3,95.0,2015/3/15
1,0.0,1012.8,1.5,14.5,87.0,2015/3/16
1,41.5,1005.6,2.2,16.3,92.0,2015/3/17
